Threshold,False Positive Rate (x),True Positive Rate (y)
0.794000,0.034067,0.757374
0.795000,0.033652,0.756543
0.796000,0.033236,0.756128
0.797000,0.033236,0.754882
0.798000,0.033236,0.754051
0.799000,0.032821,0.753635
0.800000,0.032821,0.753635
0.801000,0.031990,0.752804
0.802000,0.031990,0.752804
0.803000,0.031575,0.751973
0.804000,0.031159,0.751558
0.805000,0.031159,0.751558
0.806000,0.031159,0.751143
0.807000,0.030744,0.750312
0.808000,0.030744,0.749481
0.809000,0.029913,0.749481
0.810000,0.029497,0.748650
0.811000,0.029082,0.748234
0.812000,0.029082,0.746988
0.813000,0.029082,0.746157
0.814000,0.028666,0.744911
0.815000,0.027835,0.744495
0.816000,0.027420,0.744495
0.817000,0.027420,0.744080
0.818000,0.027420,0.742833
0.819000,0.027420,0.742833
0.820000,0.027420,0.741172
0.821000,0.027420,0.740756
0.822000,0.027420,0.740341
0.823000,0.027420,0.738679
0.824000,0.027005,0.737848
0.825000,0.027005,0.737017
0.826000,0.026174,0.735771
0.827000,0.026174,0.734109
0.828000,0.025343,0.733693
0.829000,0.024927,0.733278
0.830000,0.024512,0.733278
0.831000,0.024096,0.732862
0.832000,0.023681,0.732447
0.833000,0.023681,0.731201
0.834000,0.022435,0.729539
0.835000,0.022435,0.728708
0.836000,0.022435,0.727877
0.837000,0.022435,0.727462
0.838000,0.022435,0.727046
0.839000,0.022019,0.726215
0.840000,0.021604,0.724553
0.841000,0.021604,0.723307
0.842000,0.021604,0.722476
0.843000,0.021604,0.720814
0.844000,0.021188,0.720399
0.845000,0.021188,0.719983
0.846000,0.021188,0.719568
0.847000,0.020773,0.718322
0.848000,0.020773,0.716244
0.849000,0.020773,0.712921
0.850000,0.020773,0.711259
0.851000,0.020773,0.710012
0.852000,0.020773,0.708351
0.853000,0.019942,0.707935
0.854000,0.019942,0.707104
0.855000,0.019942,0.706273
0.856000,0.019526,0.704196
0.857000,0.019111,0.703781
0.858000,0.018695,0.703365
0.859000,0.018695,0.701703
0.860000,0.018695,0.700042
0.861000,0.018695,0.699211
0.862000,0.018280,0.697549
0.863000,0.018280,0.695887
0.864000,0.018280,0.694641
0.865000,0.017865,0.692979
0.866000,0.017449,0.692148
